side,race_id,date,meet,rc_no
api_only,2023-01-13_2_06,2023-01-13,2,6
api_only,2023-01-13_2_07,2023-01-13,2,7
api_only,2023-01-13_2_08,2023-01-13,2,8
api_only,2023-01-14_2_01,2023-01-14,2,1
api_only,2023-01-14_2_02,2023-01-14,2,2
api_only,2023-01-14_2_03,2023-01-14,2,3
api_only,2023-01-14_2_04,2023-01-14,2,4
api_only,2023-01-14_2_05,2023-01-14,2,5
api_only,2023-01-14_2_06,2023-01-14,2,6
api_only,2023-01-14_2_07,2023-01-14,2,7
api_only,2023-01-15_1_09,2023-01-15,1,9
api_only,2023-01-15_1_10,2023-01-15,1,10
api_only,2023-04-14_2_06,2023-04-14,2,6
api_only,2023-04-29_2_05,2023-04-29,2,5
api_only,2023-04-29_2_07,2023-04-29,2,7
api_only,2023-05-05_2_05,2023-05-05,2,5
api_only,2023-05-06_1_02,2023-05-06,1,2
api_only,2023-05-06_1_03,2023-05-06,1,3
api_only,2023-05-06_1_04,2023-05-06,1,4
api_only,2023-05-06_1_05,2023-05-06,1,5
api_only,2023-05-06_1_06,2023-05-06,1,6
api_only,2023-05-06_1_07,2023-05-06,1,7
api_only,2023-05-06_1_08,2023-05-06,1,8
api_only,2023-05-06_1_09,2023-05-06,1,9
api_only,2023-05-06_1_10,2023-05-06,1,10
api_only,2023-05-13_2_03,2023-05-13,2,3
api_only,2023-06-02_2_01,2023-06-02,2,1
api_only,2023-07-29_3_01,2023-07-29,3,1
api_only,2023-07-29_3_02,2023-07-29,3,2
api_only,2023-07-29_3_03,2023-07-29,3,3
api_only,2023-07-29_3_04,2023-07-29,3,4
api_only,2023-07-29_3_05,2023-07-29,3,5
api_only,2023-07-29_3_06,2023-07-29,3,6
api_only,2023-07-29_3_07,2023-07-29,3,7
api_only,2023-07-29_3_08,2023-07-29,3,8
api_only,2023-10-09_1_01,2023-10-09,1,1
api_only,2023-10-09_1_02,2023-10-09,1,2
api_only,2023-10-09_1_03,2023-10-09,1,3
api_only,2023-10-09_1_04,2023-10-09,1,4
api_only,2023-10-09_1_05,2023-10-09,1,5
api_only,2023-10-09_1_06,2023-10-09,1,6
api_only,2023-10-09_1_07,2023-10-09,1,7
api_only,2023-10-09_1_08,2023-10-09,1,8
api_only,2023-10-09_1_09,2023-10-09,1,9
api_only,2023-10-09_1_10,2023-10-09,1,10
api_only,2023-10-09_2_01,2023-10-09,2,1
api_only,2023-10-09_2_02,2023-10-09,2,2
api_only,2023-10-09_2_03,2023-10-09,2,3
api_only,2023-10-09_2_04,2023-10-09,2,4
api_only,2023-10-09_2_05,2023-10-09,2,5
api_only,2023-10-09_2_06,2023-10-09,2,6
api_only,2023-10-09_2_07,2023-10-09,2,7
api_only,2023-12-15_2_03,2023-12-15,2,3
api_only,2023-12-15_2_04,2023-12-15,2,4
api_only,2023-12-25_1_01,2023-12-25,1,1
api_only,2023-12-25_1_02,2023-12-25,1,2
api_only,2023-12-25_1_03,2023-12-25,1,3
api_only,2023-12-25_1_04,2023-12-25,1,4
api_only,2023-12-25_1_05,2023-12-25,1,5
api_only,2023-12-25_1_06,2023-12-25,1,6
api_only,2023-12-25_1_07,2023-12-25,1,7
api_only,2023-12-25_1_08,2023-12-25,1,8
api_only,2023-12-25_1_09,2023-12-25,1,9
api_only,2023-12-25_1_10,2023-12-25,1,10
api_only,2023-12-25_1_11,2023-12-25,1,11
api_only,2023-12-25_1_12,2023-12-25,1,12
