side,race_id,date,meet,rc_no
api_only,2016-01-02_1_01,2016-01-02,1,1
api_only,2016-01-02_1_02,2016-01-02,1,2
api_only,2016-01-02_1_03,2016-01-02,1,3
api_only,2016-01-02_1_04,2016-01-02,1,4
api_only,2016-01-02_1_05,2016-01-02,1,5
api_only,2016-01-02_1_06,2016-01-02,1,6
api_only,2016-01-02_1_07,2016-01-02,1,7
api_only,2016-01-02_1_08,2016-01-02,1,8
api_only,2016-01-02_1_09,2016-01-02,1,9
api_only,2016-01-02_3_01,2016-01-02,3,1
api_only,2016-01-02_3_02,2016-01-02,3,2
api_only,2016-01-02_3_03,2016-01-02,3,3
api_only,2016-01-02_3_04,2016-01-02,3,4
api_only,2016-01-02_3_05,2016-01-02,3,5
api_only,2016-01-02_3_06,2016-01-02,3,6
api_only,2016-01-03_1_01,2016-01-03,1,1
api_only,2016-01-03_1_02,2016-01-03,1,2
api_only,2016-01-03_1_03,2016-01-03,1,3
api_only,2016-01-03_1_04,2016-01-03,1,4
api_only,2016-01-03_1_05,2016-01-03,1,5
api_only,2016-01-03_1_06,2016-01-03,1,6
api_only,2016-01-03_1_07,2016-01-03,1,7
api_only,2016-01-03_1_08,2016-01-03,1,8
api_only,2016-01-03_1_09,2016-01-03,1,9
api_only,2016-01-03_1_10,2016-01-03,1,10
api_only,2016-01-03_3_01,2016-01-03,3,1
api_only,2016-01-03_3_02,2016-01-03,3,2
api_only,2016-01-03_3_03,2016-01-03,3,3
api_only,2016-01-03_3_04,2016-01-03,3,4
api_only,2016-01-03_3_05,2016-01-03,3,5
api_only,2016-01-03_3_06,2016-01-03,3,6
api_only,2016-01-08_2_01,2016-01-08,2,1
api_only,2016-01-08_2_02,2016-01-08,2,2
api_only,2016-01-08_2_03,2016-01-08,2,3
api_only,2016-01-08_2_04,2016-01-08,2,4
api_only,2016-01-08_2_05,2016-01-08,2,5
api_only,2016-01-08_2_06,2016-01-08,2,6
api_only,2016-01-08_2_07,2016-01-08,2,7
api_only,2016-01-08_2_08,2016-01-08,2,8
api_only,2016-01-08_2_09,2016-01-08,2,9
api_only,2016-01-08_3_01,2016-01-08,3,1
api_only,2016-01-08_3_02,2016-01-08,3,2
api_only,2016-01-08_3_03,2016-01-08,3,3
api_only,2016-01-08_3_04,2016-01-08,3,4
api_only,2016-01-08_3_05,2016-01-08,3,5
api_only,2016-01-08_3_06,2016-01-08,3,6
api_only,2016-01-08_3_07,2016-01-08,3,7
api_only,2016-01-08_3_08,2016-01-08,3,8
api_only,2016-01-08_3_09,2016-01-08,3,9
api_only,2016-01-08_3_10,2016-01-08,3,10
api_only,2016-01-09_1_01,2016-01-09,1,1
api_only,2016-01-09_1_02,2016-01-09,1,2
api_only,2016-01-09_1_03,2016-01-09,1,3
api_only,2016-01-09_1_04,2016-01-09,1,4
api_only,2016-01-09_1_05,2016-01-09,1,5
api_only,2016-01-09_1_06,2016-01-09,1,6
api_only,2016-01-09_1_07,2016-01-09,1,7
api_only,2016-01-09_1_08,2016-01-09,1,8
api_only,2016-01-09_1_09,2016-01-09,1,9
api_only,2016-01-09_1_10,2016-01-09,1,10
api_only,2016-01-09_1_11,2016-01-09,1,11
api_only,2016-01-09_1_12,2016-01-09,1,12
api_only,2016-01-09_2_01,2016-01-09,2,1
api_only,2016-01-09_2_02,2016-01-09,2,2
api_only,2016-01-09_2_03,2016-01-09,2,3
api_only,2016-01-09_2_04,2016-01-09,2,4
api_only,2016-01-09_2_05,2016-01-09,2,5
api_only,2016-01-09_2_06,2016-01-09,2,6
api_only,2016-01-09_2_07,2016-01-09,2,7
api_only,2016-01-09_2_08,2016-01-09,2,8
api_only,2016-01-09_2_09,2016-01-09,2,9
api_only,2016-01-10_1_01,2016-01-10,1,1
api_only,2016-01-10_1_02,2016-01-10,1,2
api_only,2016-01-10_1_03,2016-01-10,1,3
api_only,2016-01-10_1_04,2016-01-10,1,4
api_only,2016-01-10_1_05,2016-01-10,1,5
api_only,2016-01-10_1_06,2016-01-10,1,6
api_only,2016-01-10_1_07,2016-01-10,1,7
api_only,2016-01-10_1_08,2016-01-10,1,8
api_only,2016-01-10_1_09,2016-01-10,1,9
api_only,2016-01-10_1_10,2016-01-10,1,10
api_only,2016-01-10_1_11,2016-01-10,1,11
api_only,2016-01-10_3_01,2016-01-10,3,1
api_only,2016-01-10_3_02,2016-01-10,3,2
api_only,2016-01-10_3_03,2016-01-10,3,3
api_only,2016-01-10_3_04,2016-01-10,3,4
api_only,2016-01-10_3_05,2016-01-10,3,5
api_only,2016-01-10_3_06,2016-01-10,3,6
api_only,2016-01-15_2_01,2016-01-15,2,1
api_only,2016-01-15_2_02,2016-01-15,2,2
api_only,2016-01-15_2_03,2016-01-15,2,3
api_only,2016-01-15_2_04,2016-01-15,2,4
api_only,2016-01-15_2_05,2016-01-15,2,5
api_only,2016-01-15_2_06,2016-01-15,2,6
api_only,2016-01-15_2_07,2016-01-15,2,7
api_only,2016-01-15_2_08,2016-01-15,2,8
api_only,2016-01-15_2_09,2016-01-15,2,9
api_only,2016-01-15_3_01,2016-01-15,3,1
api_only,2016-01-15_3_02,2016-01-15,3,2
api_only,2016-01-15_3_03,2016-01-15,3,3
api_only,2016-01-15_3_04,2016-01-15,3,4
api_only,2016-01-15_3_05,2016-01-15,3,5
api_only,2016-01-15_3_06,2016-01-15,3,6
api_only,2016-01-15_3_07,2016-01-15,3,7
api_only,2016-01-15_3_08,2016-01-15,3,8
api_only,2016-01-15_3_09,2016-01-15,3,9
api_only,2016-01-15_3_10,2016-01-15,3,10
api_only,2016-01-16_1_01,2016-01-16,1,1
api_only,2016-01-16_1_02,2016-01-16,1,2
api_only,2016-01-16_1_03,2016-01-16,1,3
api_only,2016-01-16_1_04,2016-01-16,1,4
api_only,2016-01-16_1_05,2016-01-16,1,5
api_only,2016-01-16_1_06,2016-01-16,1,6
api_only,2016-01-16_1_07,2016-01-16,1,7
api_only,2016-01-16_1_08,2016-01-16,1,8
api_only,2016-01-16_1_09,2016-01-16,1,9
api_only,2016-01-16_1_10,2016-01-16,1,10
api_only,2016-01-16_1_11,2016-01-16,1,11
api_only,2016-01-16_1_12,2016-01-16,1,12
api_only,2016-01-16_2_01,2016-01-16,2,1
api_only,2016-01-16_2_02,2016-01-16,2,2
api_only,2016-01-16_2_03,2016-01-16,2,3
api_only,2016-01-16_2_04,2016-01-16,2,4
api_only,2016-01-16_2_05,2016-01-16,2,5
api_only,2016-01-16_2_06,2016-01-16,2,6
api_only,2016-01-16_2_07,2016-01-16,2,7
api_only,2016-01-16_2_08,2016-01-16,2,8
api_only,2016-01-16_2_09,2016-01-16,2,9
api_only,2016-01-17_1_01,2016-01-17,1,1
api_only,2016-01-17_1_02,2016-01-17,1,2
api_only,2016-01-17_1_03,2016-01-17,1,3
api_only,2016-01-17_1_04,2016-01-17,1,4
api_only,2016-01-17_1_05,2016-01-17,1,5
api_only,2016-01-17_1_06,2016-01-17,1,6
api_only,2016-01-17_1_07,2016-01-17,1,7
api_only,2016-01-17_1_08,2016-01-17,1,8
api_only,2016-01-17_1_09,2016-01-17,1,9
api_only,2016-01-17_1_10,2016-01-17,1,10
api_only,2016-01-17_1_11,2016-01-17,1,11
api_only,2016-01-17_3_01,2016-01-17,3,1
api_only,2016-01-17_3_02,2016-01-17,3,2
api_only,2016-01-17_3_03,2016-01-17,3,3
api_only,2016-01-17_3_04,2016-01-17,3,4
api_only,2016-01-17_3_05,2016-01-17,3,5
api_only,2016-01-17_3_06,2016-01-17,3,6
api_only,2016-01-22_2_01,2016-01-22,2,1
api_only,2016-01-22_2_02,2016-01-22,2,2
api_only,2016-01-22_2_03,2016-01-22,2,3
api_only,2016-01-22_2_04,2016-01-22,2,4
api_only,2016-01-22_2_05,2016-01-22,2,5
api_only,2016-01-22_2_06,2016-01-22,2,6
api_only,2016-01-22_2_07,2016-01-22,2,7
api_only,2016-01-22_2_08,2016-01-22,2,8
api_only,2016-01-22_2_09,2016-01-22,2,9
api_only,2016-01-22_3_01,2016-01-22,3,1
api_only,2016-01-22_3_02,2016-01-22,3,2
api_only,2016-01-22_3_03,2016-01-22,3,3
api_only,2016-01-22_3_04,2016-01-22,3,4
api_only,2016-01-22_3_05,2016-01-22,3,5
api_only,2016-01-22_3_06,2016-01-22,3,6
api_only,2016-01-22_3_07,2016-01-22,3,7
api_only,2016-01-22_3_08,2016-01-22,3,8
api_only,2016-01-22_3_09,2016-01-22,3,9
api_only,2016-01-22_3_10,2016-01-22,3,10
api_only,2016-01-23_1_01,2016-01-23,1,1
api_only,2016-01-23_1_02,2016-01-23,1,2
api_only,2016-01-23_1_03,2016-01-23,1,3
api_only,2016-01-23_1_04,2016-01-23,1,4
api_only,2016-01-23_1_05,2016-01-23,1,5
api_only,2016-01-23_1_06,2016-01-23,1,6
api_only,2016-01-23_1_07,2016-01-23,1,7
api_only,2016-01-23_1_08,2016-01-23,1,8
api_only,2016-01-23_1_09,2016-01-23,1,9
api_only,2016-01-23_1_10,2016-01-23,1,10
api_only,2016-01-23_1_11,2016-01-23,1,11
api_only,2016-01-23_1_12,2016-01-23,1,12
api_only,2016-01-23_2_01,2016-01-23,2,1
api_only,2016-01-23_2_02,2016-01-23,2,2
api_only,2016-01-23_2_03,2016-01-23,2,3
api_only,2016-01-23_2_04,2016-01-23,2,4
api_only,2016-01-23_2_05,2016-01-23,2,5
api_only,2016-01-23_2_06,2016-01-23,2,6
api_only,2016-01-23_2_07,2016-01-23,2,7
api_only,2016-01-23_2_08,2016-01-23,2,8
api_only,2016-01-23_2_09,2016-01-23,2,9
api_only,2016-01-24_1_01,2016-01-24,1,1
api_only,2016-01-24_1_02,2016-01-24,1,2
api_only,2016-01-24_1_03,2016-01-24,1,3
api_only,2016-01-24_1_04,2016-01-24,1,4
api_only,2016-01-24_1_05,2016-01-24,1,5
api_only,2016-01-24_1_06,2016-01-24,1,6
api_only,2016-01-24_1_07,2016-01-24,1,7
api_only,2016-01-24_1_08,2016-01-24,1,8
api_only,2016-01-24_1_09,2016-01-24,1,9
api_only,2016-01-24_1_10,2016-01-24,1,10
api_only,2016-01-24_1_11,2016-01-24,1,11
api_only,2016-01-24_3_01,2016-01-24,3,1
api_only,2016-01-24_3_02,2016-01-24,3,2
api_only,2016-01-24_3_03,2016-01-24,3,3
api_only,2016-01-24_3_04,2016-01-24,3,4
api_only,2016-01-24_3_05,2016-01-24,3,5
api_only,2016-01-24_3_06,2016-01-24,3,6
api_only,2016-01-29_2_01,2016-01-29,2,1
api_only,2016-01-29_2_02,2016-01-29,2,2
api_only,2016-01-29_2_03,2016-01-29,2,3
api_only,2016-01-29_2_04,2016-01-29,2,4
api_only,2016-01-29_2_05,2016-01-29,2,5
api_only,2016-01-29_2_06,2016-01-29,2,6
api_only,2016-01-29_2_07,2016-01-29,2,7
api_only,2016-01-29_2_08,2016-01-29,2,8
api_only,2016-01-29_2_09,2016-01-29,2,9
api_only,2016-01-29_3_01,2016-01-29,3,1
api_only,2016-01-29_3_02,2016-01-29,3,2
api_only,2016-01-29_3_03,2016-01-29,3,3
api_only,2016-01-29_3_04,2016-01-29,3,4
api_only,2016-01-29_3_05,2016-01-29,3,5
api_only,2016-01-29_3_06,2016-01-29,3,6
api_only,2016-01-29_3_07,2016-01-29,3,7
api_only,2016-01-29_3_08,2016-01-29,3,8
api_only,2016-01-29_3_09,2016-01-29,3,9
api_only,2016-01-29_3_10,2016-01-29,3,10
api_only,2016-01-30_1_01,2016-01-30,1,1
api_only,2016-01-30_1_02,2016-01-30,1,2
api_only,2016-01-30_1_03,2016-01-30,1,3
api_only,2016-01-30_1_04,2016-01-30,1,4
api_only,2016-01-30_1_05,2016-01-30,1,5
api_only,2016-01-30_1_06,2016-01-30,1,6
api_only,2016-01-30_1_07,2016-01-30,1,7
api_only,2016-01-30_1_08,2016-01-30,1,8
api_only,2016-01-30_1_09,2016-01-30,1,9
api_only,2016-01-30_1_10,2016-01-30,1,10
api_only,2016-01-30_1_11,2016-01-30,1,11
api_only,2016-01-30_1_12,2016-01-30,1,12
api_only,2016-01-30_1_13,2016-01-30,1,13
api_only,2016-01-30_2_01,2016-01-30,2,1
api_only,2016-01-30_2_02,2016-01-30,2,2
api_only,2016-01-30_2_03,2016-01-30,2,3
api_only,2016-01-30_2_04,2016-01-30,2,4
api_only,2016-01-30_2_05,2016-01-30,2,5
api_only,2016-01-30_2_06,2016-01-30,2,6
api_only,2016-01-30_2_07,2016-01-30,2,7
api_only,2016-01-30_2_08,2016-01-30,2,8
api_only,2016-01-30_2_09,2016-01-30,2,9
api_only,2016-01-31_1_01,2016-01-31,1,1
api_only,2016-01-31_1_02,2016-01-31,1,2
api_only,2016-01-31_1_03,2016-01-31,1,3
api_only,2016-01-31_1_04,2016-01-31,1,4
api_only,2016-01-31_1_05,2016-01-31,1,5
api_only,2016-01-31_1_06,2016-01-31,1,6
api_only,2016-01-31_1_07,2016-01-31,1,7
api_only,2016-01-31_1_08,2016-01-31,1,8
api_only,2016-01-31_1_09,2016-01-31,1,9
api_only,2016-01-31_1_10,2016-01-31,1,10
api_only,2016-01-31_3_01,2016-01-31,3,1
api_only,2016-01-31_3_02,2016-01-31,3,2
api_only,2016-01-31_3_03,2016-01-31,3,3
api_only,2016-01-31_3_04,2016-01-31,3,4
api_only,2016-01-31_3_05,2016-01-31,3,5
api_only,2016-01-31_3_06,2016-01-31,3,6
api_only,2016-02-12_2_01,2016-02-12,2,1
api_only,2016-02-12_2_02,2016-02-12,2,2
api_only,2016-02-12_2_03,2016-02-12,2,3
api_only,2016-02-12_2_04,2016-02-12,2,4
api_only,2016-02-12_2_05,2016-02-12,2,5
api_only,2016-02-12_2_06,2016-02-12,2,6
api_only,2016-02-12_2_07,2016-02-12,2,7
api_only,2016-02-12_2_08,2016-02-12,2,8
api_only,2016-02-12_2_09,2016-02-12,2,9
api_only,2016-02-12_3_01,2016-02-12,3,1
api_only,2016-02-12_3_02,2016-02-12,3,2
api_only,2016-02-12_3_03,2016-02-12,3,3
api_only,2016-02-12_3_04,2016-02-12,3,4
api_only,2016-02-12_3_05,2016-02-12,3,5
api_only,2016-02-12_3_06,2016-02-12,3,6
api_only,2016-02-12_3_07,2016-02-12,3,7
api_only,2016-02-12_3_08,2016-02-12,3,8
