side,race_id,date,meet,rc_no
api_only,2017-03-25_2_05,2017-03-25,2,5
api_only,2017-08-05_3_01,2017-08-05,3,1
api_only,2017-08-05_3_02,2017-08-05,3,2
api_only,2017-08-05_3_03,2017-08-05,3,3
api_only,2017-08-05_3_04,2017-08-05,3,4
api_only,2017-08-05_3_05,2017-08-05,3,5
api_only,2017-08-05_3_06,2017-08-05,3,6
api_only,2017-08-05_3_07,2017-08-05,3,7
api_only,2017-08-05_3_08,2017-08-05,3,8
api_only,2017-12-30_3_01,2017-12-30,3,1
api_only,2017-12-30_3_02,2017-12-30,3,2
api_only,2017-12-30_3_03,2017-12-30,3,3
api_only,2017-12-30_3_04,2017-12-30,3,4
api_only,2017-12-30_3_05,2017-12-30,3,5
api_only,2017-12-30_3_06,2017-12-30,3,6
api_only,2017-12-30_3_07,2017-12-30,3,7
api_only,2017-12-30_3_08,2017-12-30,3,8
api_only,2017-12-30_3_09,2017-12-30,3,9
api_only,2017-12-30_3_10,2017-12-30,3,10
