side,race_id,date,meet,rc_no
api_only,2022-02-19_2_01,2022-02-19,2,1
api_only,2022-02-19_2_02,2022-02-19,2,2
api_only,2022-03-18_2_05,2022-03-18,2,5
api_only,2022-03-26_2_02,2022-03-26,2,2
api_only,2022-03-26_2_03,2022-03-26,2,3
api_only,2022-03-26_2_04,2022-03-26,2,4
api_only,2022-03-26_2_06,2022-03-26,2,6
api_only,2022-05-13_2_04,2022-05-13,2,4
api_only,2022-05-13_2_07,2022-05-13,2,7
api_only,2022-07-15_2_08,2022-07-15,2,8
api_only,2022-08-06_3_01,2022-08-06,3,1
api_only,2022-08-06_3_02,2022-08-06,3,2
api_only,2022-08-06_3_03,2022-08-06,3,3
api_only,2022-08-06_3_04,2022-08-06,3,4
api_only,2022-08-06_3_05,2022-08-06,3,5
api_only,2022-08-06_3_06,2022-08-06,3,6
api_only,2022-08-06_3_07,2022-08-06,3,7
api_only,2022-08-06_3_08,2022-08-06,3,8
api_only,2022-12-24_2_03,2022-12-24,2,3
