side,race_id,date,meet,rc_no
api_only,2018-04-14_2_05,2018-04-14,2,5
api_only,2018-04-14_2_08,2018-04-14,2,8
api_only,2018-04-28_2_06,2018-04-28,2,6
api_only,2018-08-04_3_01,2018-08-04,3,1
api_only,2018-08-04_3_02,2018-08-04,3,2
api_only,2018-08-04_3_03,2018-08-04,3,3
api_only,2018-08-04_3_04,2018-08-04,3,4
api_only,2018-08-04_3_05,2018-08-04,3,5
api_only,2018-08-04_3_06,2018-08-04,3,6
api_only,2018-08-04_3_07,2018-08-04,3,7
api_only,2018-08-04_3_08,2018-08-04,3,8
api_only,2018-09-01_2_08,2018-09-01,2,8
api_only,2018-10-06_2_02,2018-10-06,2,2
api_only,2018-12-29_3_01,2018-12-29,3,1
api_only,2018-12-29_3_02,2018-12-29,3,2
api_only,2018-12-29_3_03,2018-12-29,3,3
api_only,2018-12-29_3_04,2018-12-29,3,4
api_only,2018-12-29_3_05,2018-12-29,3,5
api_only,2018-12-29_3_06,2018-12-29,3,6
api_only,2018-12-29_3_07,2018-12-29,3,7
api_only,2018-12-29_3_08,2018-12-29,3,8
api_only,2018-12-29_3_09,2018-12-29,3,9
api_only,2018-12-29_3_10,2018-12-29,3,10
