side,race_id,date,meet,rc_no
api_only,2024-08-03_3_01,2024-08-03,3,1
api_only,2024-08-03_3_02,2024-08-03,3,2
api_only,2024-08-03_3_03,2024-08-03,3,3
api_only,2024-08-03_3_04,2024-08-03,3,4
api_only,2024-08-03_3_05,2024-08-03,3,5
api_only,2024-08-03_3_06,2024-08-03,3,6
api_only,2024-08-10_3_01,2024-08-10,3,1
api_only,2024-08-10_3_02,2024-08-10,3,2
api_only,2024-08-10_3_03,2024-08-10,3,3
api_only,2024-08-10_3_04,2024-08-10,3,4
api_only,2024-08-10_3_05,2024-08-10,3,5
api_only,2024-08-10_3_06,2024-08-10,3,6
api_only,2024-08-10_3_07,2024-08-10,3,7
api_only,2024-08-10_3_08,2024-08-10,3,8
api_only,2024-08-10_3_09,2024-08-10,3,9
api_only,2024-09-29_1_02,2024-09-29,1,2
