side,race_id,date,meet,rc_no
api_only,2019-06-07_2_02,2019-06-07,2,2
api_only,2019-06-07_2_04,2019-06-07,2,4
api_only,2019-06-07_2_05,2019-06-07,2,5
api_only,2019-06-07_2_06,2019-06-07,2,6
api_only,2019-06-07_2_07,2019-06-07,2,7
api_only,2019-06-07_2_08,2019-06-07,2,8
api_only,2019-06-14_2_04,2019-06-14,2,4
api_only,2019-06-14_2_07,2019-06-14,2,7
api_only,2019-06-14_2_08,2019-06-14,2,8
api_only,2019-08-03_3_01,2019-08-03,3,1
api_only,2019-08-03_3_02,2019-08-03,3,2
api_only,2019-08-03_3_03,2019-08-03,3,3
api_only,2019-08-03_3_04,2019-08-03,3,4
api_only,2019-08-03_3_05,2019-08-03,3,5
api_only,2019-08-03_3_06,2019-08-03,3,6
api_only,2019-08-03_3_07,2019-08-03,3,7
api_only,2019-08-03_3_08,2019-08-03,3,8
api_only,2019-10-18_2_06,2019-10-18,2,6
api_only,2019-11-29_3_01,2019-11-29,3,1
api_only,2019-11-29_3_02,2019-11-29,3,2
api_only,2019-11-29_3_03,2019-11-29,3,3
api_only,2019-11-29_3_04,2019-11-29,3,4
api_only,2019-11-29_3_05,2019-11-29,3,5
api_only,2019-11-29_3_06,2019-11-29,3,6
api_only,2019-11-29_3_07,2019-11-29,3,7
api_only,2019-11-29_3_08,2019-11-29,3,8
api_only,2019-11-29_3_09,2019-11-29,3,9
api_only,2019-11-29_3_10,2019-11-29,3,10
api_only,2019-11-29_3_11,2019-11-29,3,11
api_only,2019-12-28_3_01,2019-12-28,3,1
api_only,2019-12-28_3_02,2019-12-28,3,2
api_only,2019-12-28_3_03,2019-12-28,3,3
api_only,2019-12-28_3_04,2019-12-28,3,4
api_only,2019-12-28_3_05,2019-12-28,3,5
api_only,2019-12-28_3_06,2019-12-28,3,6
api_only,2019-12-28_3_07,2019-12-28,3,7
api_only,2019-12-28_3_08,2019-12-28,3,8
api_only,2019-12-28_3_09,2019-12-28,3,9
api_only,2019-12-28_3_10,2019-12-28,3,10
