race_id,row,col,exacta,exacta_reverse,quinella_place,verdict
2016-06-25_1_02,7,10,9999.9,9999.9,500.8,bet placed
2016-06-25_1_02,7,12,9999.9,8597.7,466.9,bet placed
2016-06-25_1_02,10,7,9999.9,9999.9,500.8,bet placed
2016-06-25_2_01,3,9,9999.9,9999.9,622.4,bet placed
2016-06-25_2_01,5,9,9999.9,9999.9,96.3,bet placed
2016-06-25_2_01,9,3,9999.9,9999.9,622.4,bet placed
2016-06-25_2_01,9,5,9999.9,9999.9,96.3,bet placed
2016-06-26_1_01,5,7,9999.9,8140.8,321.4,bet placed
2016-06-26_1_01,6,7,9999.9,8216.1,412.2,bet placed
2016-06-26_1_01,12,7,9999.9,6414.5,386.7,bet placed
2016-06-26_1_02,7,12,9999.9,9387.1,511.3,bet placed
2016-06-26_1_03,5,11,9999.9,9999.9,870.7,bet placed
2016-06-26_1_03,11,5,9999.9,9999.9,870.7,bet placed
2016-07-01_3_01,3,6,9999.9,6514.2,144.0,bet placed
2016-07-01_3_03,5,9,9999.9,9999.9,651.3,bet placed
2016-07-01_3_03,9,5,9999.9,9999.9,651.3,bet placed
2016-07-03_1_01,3,8,9999.9,7492.1,277.9,bet placed
2016-07-03_3_05,1,9,9999.9,4927.5,442.2,bet placed
2016-07-03_3_05,1,12,9999.9,4497.9,478.3,bet placed
2016-07-03_3_05,3,12,9999.9,9999.9,409.5,bet placed
2016-07-03_3_05,4,12,9999.9,9999.9,1095.2,bet placed
2016-07-03_3_05,4,15,9999.9,9999.9,2413.4,bet placed
2016-07-03_3_05,6,9,9999.9,9999.9,1095.2,bet placed
2016-07-03_3_05,6,11,9999.9,9999.9,1296.8,bet placed
2016-07-03_3_05,6,12,9999.9,9999.9,2276.4,bet placed
2016-07-03_3_05,6,15,9999.9,9120.0,1223.7,bet placed
2016-07-03_3_05,9,6,9999.9,9999.9,1095.2,bet placed
2016-07-03_3_05,9,12,9999.9,9999.9,974.4,bet placed
2016-07-03_3_05,11,4,9999.9,9086.5,772.3,bet placed
2016-07-03_3_05,11,6,9999.9,9999.9,1296.8,bet placed
2016-07-03_3_05,11,12,9999.9,8811.6,515.1,bet placed
2016-07-03_3_05,12,3,9999.9,9999.9,409.5,bet placed
2016-07-03_3_05,12,4,9999.9,9999.9,1095.2,bet placed
2016-07-03_3_05,12,6,9999.9,9999.9,2276.4,bet placed
