race_id,year,meet,race_no,n_registered,size_band,horse_nums_consecutive,n_keys_3bc,n_keys_3both,cancel_notice,has_cancel_dash,theta_cells_base,theta_cells_all,has_theta_base,has_theta_all,in_year_stratum
2016-06-10_2_01,2016,2,1,10,8to10,1,10,10,강남특급,1,0,133,0,1,1
2016-06-10_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,301,0,1,1
2016-06-10_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,304,0,1,1
2016-06-10_2_04,2016,2,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,550,0,1,1
2016-06-10_2_05,2016,2,5,10,8to10,1,10,10,취소마가 없습니다.,0,4,122,1,1,1
2016-06-10_2_06,2016,2,6,9,8to10,1,9,9,견인불발,1,0,0,0,0,1
2016-06-10_2_07,2016,2,7,10,8to10,1,10,10,힐링타임,1,0,17,0,1,1
2016-06-10_2_08,2016,2,8,10,8to10,1,10,10,취소마가 없습니다.,0,1,223,1,1,1
2016-06-10_3_01,2016,3,1,12,ge11,1,12,12,취소마가 없습니다.,0,9,701,1,1,1
2016-06-10_3_02,2016,3,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,341,0,1,1
2016-06-10_3_03,2016,3,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,195,0,1,1
2016-06-10_3_04,2016,3,4,9,8to10,1,9,9,취소마가 없습니다.,0,0,112,0,1,1
2016-06-10_3_05,2016,3,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,377,0,1,1
2016-06-10_3_06,2016,3,6,11,ge11,1,11,11,취소마가 없습니다.,0,0,346,0,1,1
2016-06-10_3_07,2016,3,7,11,ge11,1,11,11,취소마가 없습니다.,0,0,363,0,1,1
2016-06-10_3_08,2016,3,8,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-10_3_09,2016,3,9,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-10_3_10,2016,3,10,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,0,623,0,1,1
2016-06-11_1_02,2016,1,2,12,ge11,1,12,12,담양리더,1,3,534,1,1,1
2016-06-11_1_03,2016,1,3,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_04,2016,1,4,9,8to10,1,9,9,별빛신화 기절초풍,1,0,0,0,0,1
2016-06-11_1_05,2016,1,5,12,ge11,1,12,12,취소마가 없습니다.,0,7,931,1,1,1
2016-06-11_1_06,2016,1,6,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_07,2016,1,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,390,0,1,1
2016-06-11_1_08,2016,1,8,10,8to10,1,10,10,취소마가 없습니다.,0,0,235,0,1,1
2016-06-11_1_09,2016,1,9,10,8to10,1,10,10,취소마가 없습니다.,0,0,181,0,1,1
2016-06-11_1_10,2016,1,10,9,8to10,1,9,9,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_1_11,2016,1,11,10,8to10,1,10,10,취소마가 없습니다.,0,0,19,0,1,1
2016-06-11_1_12,2016,1,12,8,8to10,1,8,8,대박이,1,0,0,0,0,1
2016-06-11_2_01,2016,2,1,10,8to10,1,10,10,취소마가 없습니다.,0,0,30,0,1,1
2016-06-11_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,1,118,1,1,1
2016-06-11_2_03,2016,2,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,139,0,1,1
2016-06-11_2_04,2016,2,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,12,0,1,1
2016-06-11_2_05,2016,2,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,422,0,1,1
2016-06-11_2_06,2016,2,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,84,0,1,1
2016-06-11_2_07,2016,2,7,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-06-11_2_08,2016,2,8,10,8to10,1,10,10,취소마가 없습니다.,0,0,78,0,1,1
2016-06-11_2_09,2016,2,9,10,8to10,1,10,10,취소마가 없습니다.,0,0,68,0,1,1
2016-06-12_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,6,754,1,1,1
2016-06-12_1_02,2016,1,2,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-12_1_03,2016,1,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,140,0,1,1
2016-06-12_1_04,2016,1,4,9,8to10,1,9,9,취소마가 없습니다.,0,0,107,0,1,1
2016-06-12_1_05,2016,1,5,11,ge11,1,11,11,취소마가 없습니다.,0,0,314,0,1,1
2016-06-12_1_06,2016,1,6,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-12_1_07,2016,1,7,10,8to10,1,10,10,취소마가 없습니다.,0,0,54,0,1,1
2016-06-12_1_08,2016,1,8,11,ge11,1,11,11,당대걸작,1,0,26,0,1,1
2016-06-12_1_09,2016,1,9,12,ge11,1,12,12,취소마가 없습니다.,0,0,527,0,1,1
2016-06-12_1_10,2016,1,10,10,8to10,1,10,10,취소마가 없습니다.,0,0,125,0,1,1
2016-06-12_3_01,2016,3,1,11,ge11,1,11,11,취소마가 없습니다.,0,0,532,0,1,1
2016-06-12_3_02,2016,3,2,12,ge11,1,12,12,취소마가 없습니다.,0,0,646,0,1,1
2016-06-12_3_03,2016,3,3,12,ge11,1,12,12,취소마가 없습니다.,0,0,474,0,1,1
2016-06-12_3_04,2016,3,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,631,0,1,1
2016-06-12_3_05,2016,3,5,9,8to10,1,9,9,취소마가 없습니다.,0,0,149,0,1,1
2016-06-12_3_06,2016,3,6,11,ge11,1,11,11,취소마가 없습니다.,0,0,238,0,1,1
2016-06-17_2_01,2016,2,1,8,8to10,1,8,8,취소마가 없습니다.,0,0,34,0,1,1
2016-06-17_2_02,2016,2,2,10,8to10,1,10,10,산도롱,1,0,127,0,1,1
2016-06-17_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,104,0,1,1
2016-06-17_2_04,2016,2,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,67,0,1,1
2016-06-17_2_05,2016,2,5,10,8to10,1,10,10,취소마가 없습니다.,0,6,106,1,1,1
2016-06-17_2_06,2016,2,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,52,0,1,1
2016-06-17_2_07,2016,2,7,10,8to10,1,10,10,취소마가 없습니다.,0,6,244,1,1,1
2016-06-17_2_08,2016,2,8,10,8to10,1,10,10,취소마가 없습니다.,0,0,110,0,1,1
2016-06-17_3_01,2016,3,1,9,8to10,1,9,9,취소마가 없습니다.,0,0,94,0,1,1
2016-06-17_3_02,2016,3,2,8,8to10,1,8,8,취소마가 없습니다.,0,0,68,0,1,1
2016-06-17_3_03,2016,3,3,12,ge11,1,12,12,취소마가 없습니다.,0,1,731,1,1,1
2016-06-17_3_04,2016,3,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,735,0,1,1
2016-06-17_3_05,2016,3,5,10,8to10,1,10,10,취소마가 없습니다.,0,0,147,0,1,1
2016-06-17_3_06,2016,3,6,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-06-17_3_07,2016,3,7,11,ge11,1,11,11,취소마가 없습니다.,0,0,325,0,1,1
2016-06-17_3_08,2016,3,8,12,ge11,1,12,12,취소마가 없습니다.,0,0,214,0,1,1
2016-06-17_3_09,2016,3,9,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-17_3_10,2016,3,10,12,ge11,1,12,12,취소마가 없습니다.,0,0,833,0,1,1
2016-06-18_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,3,763,1,1,1
2016-06-18_1_02,2016,1,2,9,8to10,1,9,9,늘푸른축제,1,0,56,0,1,1
2016-06-18_1_03,2016,1,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,178,0,1,1
2016-06-18_1_04,2016,1,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,233,0,1,1
2016-06-18_1_05,2016,1,5,12,ge11,1,12,12,취소마가 없습니다.,0,2,703,1,1,1
2016-06-18_1_06,2016,1,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,488,0,1,1
2016-06-18_1_07,2016,1,7,9,8to10,1,9,9,취소마가 없습니다.,0,0,85,0,1,1
2016-06-18_1_08,2016,1,8,11,ge11,1,11,11,취소마가 없습니다.,0,0,382,0,1,1
2016-06-18_1_09,2016,1,9,9,8to10,1,9,9,취소마가 없습니다.,0,0,135,0,1,1
2016-06-18_1_10,2016,1,10,9,8to10,1,9,9,취소마가 없습니다.,0,0,14,0,1,1
2016-06-18_1_11,2016,1,11,12,ge11,1,12,12,취소마가 없습니다.,0,0,517,0,1,1
2016-06-18_2_01,2016,2,1,10,8to10,1,10,10,취소마가 없습니다.,0,0,192,0,1,1
2016-06-18_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,166,0,1,1
2016-06-18_2_03,2016,2,3,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-18_2_04,2016,2,4,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-18_2_05,2016,2,5,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-06-18_2_06,2016,2,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,68,0,1,1
2016-06-18_2_07,2016,2,7,10,8to10,1,10,10,취소마가 없습니다.,0,0,39,0,1,1
2016-06-18_2_08,2016,2,8,10,8to10,1,10,10,프리미엄,1,1,15,1,1,1
2016-06-18_2_09,2016,2,9,10,8to10,1,10,10,취소마가 없습니다.,0,4,172,1,1,1
2016-06-19_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,9,927,1,1,1
2016-06-19_1_02,2016,1,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,257,0,1,1
2016-06-19_1_03,2016,1,3,12,ge11,1,12,12,취소마가 없습니다.,0,0,761,0,1,1
2016-06-19_1_04,2016,1,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,675,0,1,1
2016-06-19_1_05,2016,1,5,9,8to10,1,9,9,취소마가 없습니다.,0,0,33,0,1,1
2016-06-19_1_06,2016,1,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,182,0,1,1
2016-06-19_1_07,2016,1,7,9,8to10,1,9,9,취소마가 없습니다.,0,0,0,0,0,1
2016-06-19_1_08,2016,1,8,8,8to10,1,8,8,취소마가 없습니다.,0,0,22,0,1,1
2016-06-19_1_09,2016,1,9,11,ge11,1,11,11,취소마가 없습니다.,0,0,126,0,1,1
2016-06-19_1_10,2016,1,10,9,8to10,1,9,9,취소마가 없습니다.,0,0,64,0,1,1
2016-06-19_1_11,2016,1,11,12,ge11,1,12,12,로열스타,1,0,145,0,1,1
2016-06-19_3_01,2016,3,1,10,8to10,1,10,10,취소마가 없습니다.,0,0,145,0,1,1
2016-06-19_3_02,2016,3,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,99,0,1,1
2016-06-19_3_03,2016,3,3,11,ge11,1,11,11,취소마가 없습니다.,0,0,357,0,1,1
2016-06-19_3_04,2016,3,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,279,0,1,1
2016-06-19_3_05,2016,3,5,7,le7,1,7,7,탱크파워,1,0,0,0,0,1
2016-06-19_3_06,2016,3,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,142,0,1,1
2016-06-24_2_01,2016,2,1,9,8to10,1,9,9,취소마가 없습니다.,0,0,15,0,1,1
2016-06-24_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,203,0,1,1
2016-06-24_2_06,2016,2,6,8,8to10,1,8,8,마니아,1,0,0,0,0,1
2016-06-24_2_07,2016,2,7,9,8to10,1,9,9,취소마가 없습니다.,0,0,10,0,1,1
2016-06-24_2_08,2016,2,8,9,8to10,1,9,9,일류군주,1,0,28,0,1,1
2016-06-24_3_01,2016,3,1,12,ge11,1,12,12,취소마가 없습니다.,0,1,630,1,1,1
2016-06-24_3_02,2016,3,2,12,ge11,1,12,12,청춘챔프,1,1,430,1,1,1
2016-06-24_3_03,2016,3,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,125,0,1,1
2016-06-24_3_04,2016,3,4,12,ge11,1,12,12,취소마가 없습니다.,0,1,683,1,1,1
2016-06-24_3_05,2016,3,5,11,ge11,1,11,11,취소마가 없습니다.,0,0,135,0,1,1
2016-06-24_3_06,2016,3,6,11,ge11,1,11,11,취소마가 없습니다.,0,0,192,0,1,1
2016-06-24_3_07,2016,3,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,512,0,1,1
2016-06-24_3_08,2016,3,8,10,8to10,1,10,10,취소마가 없습니다.,0,0,283,0,1,1
2016-06-24_3_09,2016,3,9,11,ge11,1,11,11,취소마가 없습니다.,0,0,319,0,1,1
2016-06-24_3_10,2016,3,10,9,8to10,1,9,9,취소마가 없습니다.,0,0,30,0,1,1
2016-06-25_1_01,2016,1,1,12,ge11,1,12,12,성으뜸,1,17,735,1,1,1
2016-06-25_1_02,2016,1,2,12,ge11,1,12,12,금빛전령,1,4,508,1,1,1
2016-06-25_1_03,2016,1,3,12,ge11,1,12,12,필라우스,1,0,436,0,1,1
2016-06-25_1_04,2016,1,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,423,0,1,1
2016-06-25_1_05,2016,1,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,626,0,1,1
2016-06-25_1_06,2016,1,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,88,0,1,1
2016-06-25_1_07,2016,1,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,526,0,1,1
2016-06-25_1_08,2016,1,8,9,8to10,1,9,9,취소마가 없습니다.,0,0,40,0,1,1
2016-06-25_1_09,2016,1,9,12,ge11,1,12,12,블러싱바우,1,0,278,0,1,1
2016-06-25_1_10,2016,1,10,12,ge11,1,12,12,취소마가 없습니다.,0,0,245,0,1,1
2016-06-25_1_11,2016,1,11,10,8to10,1,10,10,취소마가 없습니다.,0,0,139,0,1,1
2016-06-25_2_01,2016,2,1,10,8to10,1,10,10,취소마가 없습니다.,0,4,263,1,1,1
2016-06-25_2_02,2016,2,2,8,8to10,1,8,8,취소마가 없습니다.,0,0,20,0,1,1
2016-06-25_2_03,2016,2,3,8,8to10,1,8,8,취소마가 없습니다.,0,0,5,0,1,1
2016-06-25_2_04,2016,2,4,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-25_2_05,2016,2,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,312,0,1,1
2016-06-25_2_06,2016,2,6,8,8to10,1,8,8,신기명장 일대천하,1,0,0,0,0,1
2016-06-25_2_07,2016,2,7,8,8to10,1,8,8,쾌속열차,1,0,0,0,0,1
2016-06-25_2_08,2016,2,8,9,8to10,1,9,9,취소마가 없습니다.,0,0,5,0,1,1
2016-06-25_2_09,2016,2,9,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-06-26_1_01,2016,1,1,12,ge11,1,12,12,취소마가 없습니다.,0,3,811,1,1,1
2016-06-26_1_02,2016,1,2,12,ge11,1,12,12,황금박쥐,1,1,483,1,1,1
2016-06-26_1_03,2016,1,3,12,ge11,1,12,12,취소마가 없습니다.,0,2,687,1,1,1
2016-06-26_1_04,2016,1,4,12,ge11,1,12,12,취소마가 없습니다.,0,0,623,0,1,1
2016-06-26_1_05,2016,1,5,12,ge11,1,12,12,승리사랑 위즈스파크 은산덕해,1,0,100,0,1,1
2016-06-26_1_06,2016,1,6,11,ge11,1,11,11,취소마가 없습니다.,0,0,563,0,1,1
2016-06-26_1_07,2016,1,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,754,0,1,1
2016-06-26_1_08,2016,1,8,11,ge11,1,11,11,취소마가 없습니다.,0,0,398,0,1,1
2016-06-26_1_09,2016,1,9,12,ge11,1,12,12,비세리온,1,0,348,0,1,1
2016-06-26_1_10,2016,1,10,12,ge11,1,12,12,바다질주,1,0,384,0,1,1
2016-06-26_1_11,2016,1,11,11,ge11,1,11,11,취소마가 없습니다.,0,0,252,0,1,1
2016-06-26_3_01,2016,3,1,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-06-26_3_02,2016,3,2,11,ge11,1,11,11,취소마가 없습니다.,0,0,278,0,1,1
2016-06-26_3_03,2016,3,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,82,0,1,1
2016-06-26_3_04,2016,3,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,108,0,1,1
2016-06-26_3_05,2016,3,5,11,ge11,1,11,11,동남천하,1,0,83,0,1,1
2016-06-26_3_06,2016,3,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,390,0,1,1
2016-07-01_2_01,2016,2,1,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-01_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,189,0,1,1
2016-07-01_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,59,0,1,1
2016-07-01_2_04,2016,2,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,343,0,1,1
2016-07-01_2_05,2016,2,5,10,8to10,1,10,10,취소마가 없습니다.,0,0,142,0,1,1
2016-07-01_2_06,2016,2,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,222,0,1,1
2016-07-01_2_07,2016,2,7,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-01_2_08,2016,2,8,8,8to10,1,8,8,취소마가 없습니다.,0,1,1,1,1,1
2016-07-01_3_01,2016,3,1,9,8to10,1,9,9,취소마가 없습니다.,0,1,182,1,1,1
2016-07-01_3_02,2016,3,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,305,0,1,1
2016-07-01_3_03,2016,3,3,12,ge11,1,12,12,취소마가 없습니다.,0,2,680,1,1,1
2016-07-01_3_04,2016,3,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,135,0,1,1
2016-07-01_3_05,2016,3,5,9,8to10,1,9,9,취소마가 없습니다.,0,0,54,0,1,1
2016-07-01_3_06,2016,3,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,535,0,1,1
2016-07-01_3_07,2016,3,7,11,ge11,1,11,11,취소마가 없습니다.,0,0,522,0,1,1
2016-07-01_3_08,2016,3,8,8,8to10,1,8,8,취소마가 없습니다.,0,0,7,0,1,1
2016-07-01_3_09,2016,3,9,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-01_3_10,2016,3,10,9,8to10,1,9,9,취소마가 없습니다.,0,0,7,0,1,1
2016-07-02_1_01,2016,1,1,9,8to10,1,9,9,취소마가 없습니다.,0,0,188,0,1,1
2016-07-02_1_02,2016,1,2,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_1_03,2016,1,3,8,8to10,1,8,8,취소마가 없습니다.,0,0,13,0,1,1
2016-07-02_1_04,2016,1,4,9,8to10,1,9,9,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_1_05,2016,1,5,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_1_06,2016,1,6,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_1_07,2016,1,7,10,8to10,1,10,10,취소마가 없습니다.,0,0,24,0,1,1
2016-07-02_1_08,2016,1,8,8,8to10,1,8,8,취소마가 없습니다.,0,0,13,0,1,1
2016-07-02_1_09,2016,1,9,9,8to10,1,9,9,취소마가 없습니다.,0,0,12,0,1,1
2016-07-02_1_10,2016,1,10,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_1_11,2016,1,11,12,ge11,1,12,12,머스탱정,1,0,126,0,1,1
2016-07-02_2_01,2016,2,1,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_2_02,2016,2,2,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,101,0,1,1
2016-07-02_2_04,2016,2,4,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_2_05,2016,2,5,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_2_06,2016,2,6,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-02_2_07,2016,2,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,23,0,1,1
2016-07-02_2_08,2016,2,8,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-03_1_01,2016,1,1,10,8to10,1,10,10,취소마가 없습니다.,0,1,223,1,1,1
2016-07-03_1_02,2016,1,2,11,ge11,1,11,11,취소마가 없습니다.,0,0,330,0,1,1
2016-07-03_1_03,2016,1,3,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-03_1_04,2016,1,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,54,0,1,1
2016-07-03_1_05,2016,1,5,10,8to10,1,10,10,취소마가 없습니다.,0,0,128,0,1,1
2016-07-03_1_06,2016,1,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,105,0,1,1
2016-07-03_1_07,2016,1,7,10,8to10,1,10,10,딕시이천,1,0,16,0,1,1
2016-07-03_1_08,2016,1,8,9,8to10,1,9,9,취소마가 없습니다.,0,0,55,0,1,1
2016-07-03_1_09,2016,1,9,11,ge11,1,11,11,늘푸른청룡,1,0,226,0,1,1
2016-07-03_1_10,2016,1,10,11,ge11,1,11,11,인수재 로열훼이버,1,0,39,0,1,1
2016-07-03_3_01,2016,3,1,10,8to10,1,10,10,취소마가 없습니다.,0,0,95,0,1,1
2016-07-03_3_02,2016,3,2,10,8to10,1,10,10,오피서레이디,1,0,20,0,1,1
2016-07-03_3_03,2016,3,3,12,ge11,1,12,12,취소마가 없습니다.,0,0,346,0,1,1
2016-07-03_3_04,2016,3,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,227,0,1,1
2016-07-03_3_05,2016,3,5,16,ge11,1,16,16,취소마가 없습니다.,0,22,3019,1,1,1
2016-07-03_3_06,2016,3,6,12,ge11,1,12,12,취소마가 없습니다.,0,0,495,0,1,1
2016-07-08_2_01,2016,2,1,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-08_2_02,2016,2,2,10,8to10,1,10,10,취소마가 없습니다.,0,0,109,0,1,1
2016-07-08_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,4,0,1,1
2016-07-08_2_04,2016,2,4,10,8to10,1,10,10,한라신화,1,0,49,0,1,1
2016-07-08_2_05,2016,2,5,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-08_2_06,2016,2,6,8,8to10,1,8,8,삼국시대,1,0,0,0,0,1
2016-07-08_2_07,2016,2,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,406,0,1,1
2016-07-08_2_08,2016,2,8,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-08_3_01,2016,3,1,11,ge11,1,11,11,취소마가 없습니다.,0,0,470,0,1,1
2016-07-08_3_02,2016,3,2,12,ge11,1,12,12,취소마가 없습니다.,0,0,611,0,1,1
2016-07-08_3_03,2016,3,3,8,8to10,1,8,8,취소마가 없습니다.,0,0,35,0,1,1
2016-07-08_3_04,2016,3,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,164,0,1,1
2016-07-08_3_05,2016,3,5,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-08_3_06,2016,3,6,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-08_3_07,2016,3,7,8,8to10,1,8,8,취소마가 없습니다.,0,0,5,0,1,1
2016-07-08_3_08,2016,3,8,9,8to10,1,9,9,취소마가 없습니다.,0,0,21,0,1,1
2016-07-08_3_09,2016,3,9,12,ge11,1,12,12,취소마가 없습니다.,0,0,610,0,1,1
2016-07-08_3_10,2016,3,10,12,ge11,1,12,12,취소마가 없습니다.,0,0,262,0,1,1
2016-07-09_1_01,2016,1,1,9,8to10,1,9,9,취소마가 없습니다.,0,0,2,0,1,1
2016-07-09_1_02,2016,1,2,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-09_1_03,2016,1,3,12,ge11,1,12,12,취소마가 없습니다.,0,0,295,0,1,1
2016-07-09_1_04,2016,1,4,11,ge11,1,11,11,취소마가 없습니다.,0,0,167,0,1,1
2016-07-09_1_05,2016,1,5,12,ge11,1,12,12,취소마가 없습니다.,0,0,622,0,1,1
2016-07-09_1_06,2016,1,6,10,8to10,1,10,10,취소마가 없습니다.,0,0,199,0,1,1
2016-07-09_1_07,2016,1,7,10,8to10,1,10,10,취소마가 없습니다.,0,0,195,0,1,1
2016-07-09_1_08,2016,1,8,9,8to10,1,9,9,취소마가 없습니다.,0,0,43,0,1,1
2016-07-09_1_09,2016,1,9,12,ge11,1,12,12,취소마가 없습니다.,0,0,453,0,1,1
2016-07-09_2_01,2016,2,1,9,8to10,1,9,9,취소마가 없습니다.,0,0,86,0,1,1
2016-07-09_2_02,2016,2,2,9,8to10,1,9,9,취소마가 없습니다.,0,0,6,0,1,1
2016-07-09_2_03,2016,2,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,242,0,1,1
2016-07-09_2_04,2016,2,4,10,8to10,1,10,10,취소마가 없습니다.,0,0,43,0,1,1
2016-07-09_2_05,2016,2,5,8,8to10,1,8,8,취소마가 없습니다.,0,0,9,0,1,1
2016-07-09_2_06,2016,2,6,8,8to10,1,8,8,취소마가 없습니다.,0,0,0,0,0,1
2016-07-09_2_07,2016,2,7,12,ge11,1,12,12,취소마가 없습니다.,0,0,289,0,1,1
2016-07-09_2_08,2016,2,8,8,8to10,1,8,8,취소마가 없습니다.,0,0,66,0,1,1
2016-07-09_2_09,2016,2,9,9,8to10,1,9,9,취소마가 없습니다.,0,0,3,0,1,1
2016-07-10_1_01,2016,1,1,7,le7,1,7,7,베이어게인,1,0,0,0,0,1
2016-07-10_1_02,2016,1,2,8,8to10,1,8,8,취소마가 없습니다.,0,0,4,0,1,1
2016-07-10_1_03,2016,1,3,10,8to10,1,10,10,취소마가 없습니다.,0,0,239,0,1,1
2016-07-10_1_04,2016,1,4,9,8to10,1,9,9,농본승리,1,0,20,0,1,1
2016-07-10_1_05,2016,1,5,12,ge11,1,12,12,클린업파워,1,0,225,0,1,1
2016-07-10_1_06,2016,1,6,8,8to10,1,8,8,취소마가 없습니다.,0,0,11,0,1,1
2016-07-10_1_07,2016,1,7,9,8to10,1,9,9,취소마가 없습니다.,0,0,108,0,1,1
2016-07-10_1_08,2016,1,8,11,ge11,1,11,11,취소마가 없습니다.,0,0,461,0,1,1
2016-07-10_1_09,2016,1,9,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-10_1_10,2016,1,10,12,ge11,1,12,12,붉은기상,1,0,305,0,1,1
2016-07-10_1_11,2016,1,11,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-10_3_01,2016,3,1,7,le7,1,7,7,취소마가 없습니다.,0,0,0,0,0,1
2016-07-10_3_02,2016,3,2,9,8to10,1,9,9,취소마가 없습니다.,0,0,1,0,1,1
2016-07-10_3_03,2016,3,3,9,8to10,1,9,9,취소마가 없습니다.,0,0,56,0,1,1
